,index,Movie_Link,TrailerPublishYear,TrailerPublishDays,ProductionBudget,HasBudget,Horror,Thriller,Documentary,Comedy,Drama,Adventure,Crime,Biography,Action,NC-17,Not Rated,PG-13,R,PG,G,ProductionCountry,Follows,TopStudios,Language,AwardStars,TopMeters,TopStars,StarsScore,TrailerDuration,FaceNo,RatioFaceNo,Female,RatioFemale,Male,RatioMale,RatioSad,RatioHappy,RatioFear,RatioAngry,RatioSurprise,RatioDisgust,RatioNeutral,RatioAsian,RatioIndian,RatioBlack,RatioWhite,RatioMiddle,RatioHispanic,AverageAge,AvgFaceSize,RatioFaceCoverage,TotalComments,ReviewMag,Sentiment_mean,PN_ratio
2338,2378,https://www.imdb.com/title/tt5092484/?ref_=adv_li_tt,2020,29,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,71,57,0.98,6,0.11,51,0.89,0.32,0.14,0.11,0.12,0.0,0.0,0.32,0.21,0.02,0.09,0.46,0.09,0.14,32.77,15696.04,0.02,2,2.2,1.0,2.0
2339,2379,https://www.imdb.com/title/tt6772804/?ref_=adv_li_tt,2019,19,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,59,165,31,0.51,0,0.0,31,1.0,0.19,0.06,0.03,0.23,0.03,0.0,0.45,0.13,0.0,0.19,0.48,0.16,0.03,36.77,52313.06,0.06,3,1.7,0.6666666666666666,2.0
2340,2380,https://www.imdb.com/title/tt9625664/?ref_=adv_li_tt,2019,38,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,143,67,0.55,18,0.27,49,0.73,0.37,0.04,0.15,0.13,0.01,0.0,0.28,0.16,0.01,0.13,0.57,0.07,0.04,34.18,45562.07,0.05,3,0.5,0.0,0.0
2341,2381,https://www.imdb.com/title/tt8722440/?ref_=adv_li_tt,2019,46,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,99,102,0.87,7,0.07,95,0.93,0.31,0.08,0.18,0.23,0.03,0.0,0.18,0.13,0.0,0.02,0.76,0.06,0.03,35.76,32748.97,0.04,4,1.5,0.25,0.3333333333333333
2342,2382,https://www.imdb.com/title/tt5577494/?ref_=adv_li_tt,2019,97,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,122,30,0.83,3,0.1,27,0.9,0.4,0.0,0.1,0.13,0.0,0.0,0.37,0.2,0.03,0.33,0.43,0.0,0.0,34.73,14662.83,0.02,6,4.6,0.6666666666666666,2.0
2343,2383,https://www.imdb.com/title/tt10579992/?ref_=adv_li_tt,2019,36,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,146,148,1.05,4,0.03,144,0.97,0.29,0.14,0.09,0.19,0.0,0.0,0.3,0.12,0.01,0.02,0.74,0.05,0.05,34.57,27961.98,0.03,6,2.8,0.3333333333333333,0.5
2344,2384,https://www.imdb.com/title/tt5806558/?ref_=adv_li_tt,2020,196,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,141,103,0.94,18,0.17,85,0.83,0.32,0.12,0.17,0.16,0.04,0.0,0.19,0.17,0.01,0.02,0.77,0.01,0.02,35.83,30440.93,0.03,6,3.0,0.8333333333333334,5.0
2345,2385,https://www.imdb.com/title/tt7473716/?ref_=adv_li_tt,2019,31,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,86,21,1.05,9,0.43,12,0.57,0.62,0.19,0.05,0.05,0.0,0.0,0.1,0.1,0.0,0.0,0.62,0.05,0.24,31.1,17649.1,0.02,7,4.4,0.2857142857142857,0.4
2346,2386,https://www.imdb.com/title/tt8563452/?ref_=adv_li_tt,2019,25,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,133,81,0.7,8,0.1,73,0.9,0.31,0.02,0.1,0.09,0.0,0.0,0.48,0.15,0.0,0.09,0.63,0.02,0.11,33.95,32043.12,0.03,7,3.4,0.14285714285714285,0.16666666666666666
2347,2387,https://www.imdb.com/title/tt7894510/?ref_=adv_li_tt,2020,30,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,151,144,1.53,34,0.24,110,0.76,0.38,0.09,0.1,0.13,0.01,0.0,0.28,0.19,0.0,0.01,0.73,0.06,0.01,35.17,27301.69,0.03,8,6.2,0.375,0.6
2348,2388,https://www.imdb.com/title/tt6348410/?ref_=adv_li_tt,2019,29,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,26,132,86,0.99,22,0.26,64,0.74,0.37,0.09,0.21,0.08,0.01,0.0,0.23,0.1,0.02,0.02,0.44,0.24,0.16,31.45,26696.37,0.03,9,11.0,0.7777777777777778,3.5
2349,2389,https://www.imdb.com/title/tt6838918/?ref_=adv_li_tt,2019,48,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,134,173,1.52,2,0.01,171,0.99,0.32,0.06,0.13,0.21,0.02,0.0,0.26,0.15,0.02,0.03,0.6,0.11,0.09,34.91,29683.67,0.03,9,9.4,0.5555555555555556,1.25
2350,2390,https://www.imdb.com/title/tt7216068/?ref_=adv_li_tt,2019,23,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,163,118,1.08,34,0.29,84,0.71,0.36,0.16,0.17,0.11,0.01,0.0,0.19,0.11,0.01,0.03,0.77,0.05,0.03,31.91,27568.9,0.03,10,12.1,0.8,4.0
2351,2391,https://www.imdb.com/title/tt7558302/?ref_=adv_li_tt,2019,50,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,51,137,128,0.92,18,0.14,110,0.86,0.4,0.04,0.05,0.17,0.01,0.0,0.33,0.16,0.0,0.04,0.64,0.13,0.04,33.0,25620.3,0.03,10,5.8,0.4,0.6666666666666666
2352,2392,https://www.imdb.com/title/tt3009772/?ref_=adv_li_tt,2019,29,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,99,141,229,1.94,57,0.25,172,0.75,0.3,0.16,0.09,0.15,0.01,0.0,0.28,0.13,0.0,0.05,0.74,0.05,0.03,33.38,19196.34,0.02,11,6.7,0.6363636363636364,1.75
2353,2393,https://www.imdb.com/title/tt8366502/?ref_=adv_li_tt,2019,31,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,142,136,1.62,40,0.29,96,0.71,0.33,0.09,0.13,0.09,0.05,0.0,0.31,0.23,0.02,0.08,0.46,0.11,0.1,33.21,11218.54,0.01,11,7.0,0.6363636363636364,1.75
2354,2394,https://www.imdb.com/title/tt3016748/?ref_=adv_li_tt,2019,52,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,146,56,0.98,3,0.05,53,0.95,0.36,0.2,0.13,0.09,0.0,0.0,0.23,0.27,0.0,0.14,0.48,0.02,0.09,33.2,20519.52,0.02,12,7.1,0.6666666666666666,2.0
2355,2395,https://www.imdb.com/title/tt7942746/?ref_=adv_li_tt,2019,37,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,137,73,0.72,26,0.36,47,0.64,0.45,0.11,0.1,0.05,0.0,0.0,0.29,0.23,0.0,0.05,0.7,0.0,0.01,30.95,29060.44,0.03,12,10.2,0.75,3.0
2356,2396,https://www.imdb.com/title/tt0858419/?ref_=adv_li_tt,2019,60,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,152,202,1.63,23,0.11,179,0.89,0.34,0.14,0.13,0.1,0.01,0.0,0.27,0.31,0.0,0.26,0.39,0.01,0.03,31.0,19011.08,0.02,18,19.5,0.6111111111111112,1.5714285714285714
2357,2397,https://www.imdb.com/title/tt3824648/?ref_=adv_li_tt,2020,23,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,136,37,0.86,3,0.08,34,0.92,0.41,0.05,0.22,0.05,0.0,0.0,0.27,0.24,0.0,0.03,0.7,0.0,0.03,31.95,31953.46,0.03,19,14.3,0.42105263157894735,0.7272727272727273
